Forest_Remnant_ID,Year_of_Survey,Marsh_Crawler,Leaf_Hopper,Stream_Singer,Boulder_Climber,Moss_Dweller,Glimmer_Newt,Shade_Salamander,Pond_Croaker,Wetland_Wanderer,Forest_Frog,Spotted_Newt,Green_Treefrog,Striped_Salamander,Rock_Toad,Mud_Salamander,Glass_Frog,Dart_Frog,Rain_Frog,Mountain_Salamander,Cave_Salamander,Ridge_Newt,Bog_Toad,Dune_Toad,Common_Frog,Smooth_Newt,Emerald_Pipit,Crimson_Screamer,Ghost_Toad,River_Glide,Shadow_Salamander,Crystal_Frog,Whispering_Newt,Sun_Basker,Night_Singer,Burrow_Dweller
F01,2020,0,2,0,7,10,13,0,10,6,12,11,0,18,10,1,0,8,0,0,12,0,20,0,14,8,0,10,15,1,11,10,10,15,7,0
F02,2020,1,1,3,8,10,4,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,1,6,0,0,1,1,0,2,0,1
F03,2020,11,11,7,8,6,9,10,12,14,17,9,8,5,17,17,17,3,11,14,20,15,15,14,11,6,7,11,15,11,12,13,15,19,9,7
F04,2020,0,8,3,4,7,8,6,0,0,14,3,15,1,9,16,0,4,1,0,0,11,11,0,7,0,5,0,10,7,1,4,9,2,0,11
F05,2020,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F06,2020,9,0,0,16,13,16,14,16,18,10,8,10,16,15,15,20,11,0,19,8,0,16,14,0,14,8,12,15,14,7,18,10,11,16,15
F07,2020,0,0,1,10,8,0,0,5,1,9,0,14,11,3,0,9,10,0,0,8,0,7,0,9,2,9,11,10,0,10,0,11,0,4,13
F08,2020,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
F09,2020,18,10,8,14,9,21,19,5,13,11,13,14,20,12,20,14,12,15,16,21,23,17,6,14,9,16,14,11,15,14,17,11,11,10,15
F10,2020,0,0,9,2,11,0,7,0,0,8,3,1,0,8,0,9,0,1,0,11,0,13,0,11,0,1,0,4,0,1,0,0,7,9,9
